seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.009933	0.009933	0.908211	8.554462e+10	2.381054
1	2	0	0.300	0.000309	0.010242	0.010241	0.877260	1.698723e+11	2.375629
1	3	0	0.300	0.000489	0.010624	0.010624	0.845987	2.550798e+11	2.380449
1	4	0	0.300	0.000667	0.011045	0.011046	0.814635	3.405172e+11	2.384175
1	5	0	0.300	0.000833	0.011448	0.011449	0.783381	4.256831e+11	2.386224
1	6	0	0.300	0.001022	0.011892	0.011895	0.753096	5.081914e+11	2.381868
1	7	0	0.300	0.001202	0.012400	0.012404	0.721511	5.942650e+11	2.388747
1	8	0	0.300	0.001394	0.012969	0.012976	0.689785	6.807404e+11	2.395452
1	9	0	0.300	0.001571	0.013533	0.013539	0.659247	7.639597e+11	2.394431
1	10	0	0.300	0.001766	0.014128	0.014139	0.628933	8.465530e+11	2.393994
1	11	0	0.300	0.001948	0.014785	0.014803	0.598576	9.292686e+11	2.393319
1	12	0	0.300	0.002130	0.015467	0.015491	0.568744	1.010548e+12	2.390350
1	13	0	0.300	0.002324	0.016245	0.016272	0.538376	1.093301e+12	2.394170
1	14	0	0.300	0.002504	0.016992	0.017036	0.509979	1.170659e+12	2.389307
1	15	0	0.300	0.002699	0.017946	0.018012	0.480211	1.251780e+12	2.389334
1	16	0	0.300	0.002890	0.018895	0.018976	0.450873	1.331723e+12	2.389210
1	17	0	0.300	0.003074	0.019968	0.020079	0.423156	1.407231e+12	2.388241
1	18	0	0.300	0.003266	0.021142	0.021297	0.395027	1.483877e+12	2.387314
1	19	0	0.300	0.003455	0.022467	0.022682	0.366893	1.560528e+12	2.386550
1	20	0	0.300	0.003642	0.023842	0.024120	0.339554	1.635041e+12	2.387294
1	21	0	0.300	0.003837	0.025595	0.025985	0.312246	1.709471e+12	2.389971
1	22	0	0.300	0.004021	0.027176	0.027702	0.286488	1.779644e+12	2.387382
1	23	0	0.300	0.004208	0.029185	0.029892	0.260974	1.849172e+12	2.387988
1	24	0	0.300	0.004385	0.031155	0.032097	0.236348	1.916246e+12	2.385857
1	25	0	0.300	0.004568	0.033603	0.034865	0.212929	1.980055e+12	2.385852
1	26	0	0.300	0.004745	0.036267	0.037977	0.189853	2.042944e+12	2.386170
1	27	0	0.300	0.004910	0.039319	0.041616	0.167344	2.104293e+12	2.389306
1	28	0	0.300	0.005079	0.042417	0.045516	0.146303	2.161642e+12	2.389557
1	29	0	0.300	0.005243	0.046242	0.050476	0.127051	2.214106e+12	2.389637
1	30	0	0.300	0.005381	0.050059	0.055744	0.109494	2.261957e+12	2.389259
2	1	0	0.300	0.000137	0.010022	0.010022	0.907900	8.640158e+10	2.398330
2	2	0	0.300	0.000317	0.010388	0.010388	0.876157	1.729051e+11	2.402504
2	3	0	0.300	0.000485	0.010730	0.010730	0.844573	2.589704e+11	2.400800
2	4	0	0.300	0.000675	0.011159	0.011159	0.813209	3.444470e+11	2.400060
2	5	0	0.300	0.000850	0.011570	0.011572	0.781806	4.300191e+11	2.401619
2	6	0	0.300	0.001031	0.011988	0.011992	0.750933	5.141364e+11	2.397992
2	7	0	0.300	0.001201	0.012427	0.012431	0.720550	5.969147e+11	2.393461
2	8	0	0.300	0.001397	0.013000	0.013005	0.689603	6.812537e+11	2.396300
2	9	0	0.300	0.001576	0.013561	0.013569	0.659207	7.640624e+11	2.394453
2	10	0	0.300	0.001777	0.014212	0.014223	0.627933	8.493168e+11	2.397628
2	11	0	0.300	0.001952	0.014840	0.014858	0.598012	9.308260e+11	2.395746
2	12	0	0.300	0.002139	0.015487	0.015511	0.568499	1.011224e+12	2.393222
2	13	0	0.300	0.002324	0.016235	0.016273	0.538627	1.092622e+12	2.392616
2	14	0	0.300	0.002513	0.017049	0.017097	0.509047	1.173214e+12	2.391751
2	15	0	0.300	0.002720	0.018116	0.018187	0.477709	1.258658e+12	2.398359
2	16	0	0.300	0.002912	0.019111	0.019202	0.449333	1.335970e+12	2.397181
2	17	0	0.300	0.003088	0.020116	0.020233	0.421112	1.412850e+12	2.394603
2	18	0	0.300	0.003286	0.021409	0.021571	0.392844	1.489903e+12	2.395637
2	19	0	0.300	0.003469	0.022602	0.022821	0.365177	1.565246e+12	2.392621
2	20	0	0.300	0.003657	0.023970	0.024257	0.337933	1.639490e+12	2.393389
2	21	0	0.300	0.003843	0.025590	0.025989	0.311656	1.711081e+12	2.391204
2	22	0	0.300	0.004027	0.027218	0.027738	0.286330	1.780075e+12	2.390020
2	23	0	0.300	0.004223	0.029341	0.030042	0.259685	1.852712e+12	2.393886
2	24	0	0.300	0.004396	0.031385	0.032340	0.235520	1.918524e+12	2.390839
2	25	0	0.300	0.004581	0.033974	0.035269	0.210455	1.986889e+12	2.395139
2	26	0	0.300	0.004753	0.036509	0.038238	0.188748	2.045985e+12	2.391352
2	27	0	0.300	0.004928	0.039739	0.042137	0.165995	2.108051e+12	2.395946
2	28	0	0.300	0.005091	0.042599	0.045696	0.146199	2.161933e+12	2.391631
2	29	0	0.300	0.005240	0.046202	0.050392	0.126938	2.214405e+12	2.391161
2	30	0	0.300	0.005396	0.050256	0.055965	0.108021	2.266017e+12	2.392788
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360
3	2	0	0.300	0.000320	0.010328	0.010328	0.876641	1.715661e+11	2.389473
3	3	0	0.300	0.000489	0.010695	0.010696	0.845046	2.576703e+11	2.393855
3	4	0	0.300	0.000679	0.011130	0.011131	0.813610	3.433312e+11	2.395495
3	5	0	0.300	0.000840	0.011463	0.011466	0.783071	4.265295e+11	2.388241
3	6	0	0.300	0.001024	0.011912	0.011914	0.752096	5.109311e+11	2.387071
3	7	0	0.300	0.001204	0.012420	0.012423	0.720983	5.957168e+11	2.389607
3	8	0	0.300	0.001397	0.012960	0.012966	0.690066	6.799645e+11	2.390228
3	9	0	0.300	0.001570	0.013506	0.013514	0.659957	7.619924e+11	2.389939
3	10	0	0.300	0.001756	0.014089	0.014102	0.629604	8.446918e+11	2.389146
3	11	0	0.300	0.001950	0.014778	0.014796	0.598970	9.281852e+11	2.390969
3	12	0	0.300	0.002123	0.015415	0.015437	0.568922	1.010059e+12	2.389410
3	13	0	0.300	0.002329	0.016260	0.016293	0.538860	1.091974e+12	2.390029
3	14	0	0.300	0.002503	0.017000	0.017041	0.509825	1.171081e+12	2.389087
3	15	0	0.300	0.002693	0.017869	0.017928	0.480755	1.250266e+12	2.386316
3	16	0	0.300	0.002902	0.018984	0.019064	0.450994	1.331386e+12	2.390320
3	17	0	0.300	0.003078	0.020027	0.020141	0.421998	1.410408e+12	2.391712
3	18	0	0.300	0.003264	0.021120	0.021281	0.394338	1.485757e+12	2.388484
3	19	0	0.300	0.003468	0.022624	0.022844	0.366370	1.561969e+12	2.390701
3	20	0	0.300	0.003662	0.024061	0.024362	0.338531	1.637866e+12	2.392360
3	21	0	0.300	0.003833	0.025533	0.025932	0.312174	1.709644e+12	2.389988
3	22	0	0.300	0.004024	0.027222	0.027755	0.285950	1.781102e+12	2.389481
3	23	0	0.300	0.004221	0.029320	0.030027	0.260205	1.851266e+12	2.390031
3	24	0	0.300	0.004394	0.031405	0.032366	0.236087	1.916978e+12	2.390199
3	25	0	0.300	0.004584	0.033949	0.035265	0.210404	1.987037e+12	2.393987
3	26	0	0.300	0.004765	0.036512	0.038266	0.187380	2.049755e+12	2.393027
3	27	0	0.300	0.004928	0.039720	0.042098	0.166535	2.106565e+12	2.394613
3	28	0	0.300	0.005085	0.042432	0.045528	0.146464	2.161200e+12	2.389270
3	29	0	0.300	0.005241	0.046113	0.050243	0.126676	2.215114e+12	2.390072
3	30	0	0.300	0.005403	0.050626	0.056480	0.107660	2.267032e+12	2.395324
4	1	0	0.300	0.000137	0.009934	0.009934	0.908177	8.563699e+10	2.382011
4	2	0	0.300	0.000315	0.010346	0.010345	0.876541	1.718490e+11	2.391896
4	3	0	0.300	0.000484	0.010691	0.010691	0.845394	2.567124e+11	2.390591
4	4	0	0.300	0.000657	0.011046	0.011047	0.814333	3.413427e+11	2.389003
4	5	0	0.300	0.000847	0.011511	0.011511	0.782807	4.272600e+11	2.391453
4	6	0	0.300	0.001021	0.011896	0.011898	0.752383	5.101337e+11	2.384383
4	7	0	0.300	0.001202	0.012406	0.012409	0.721431	5.944905e+11	2.387005
4	8	0	0.300	0.001390	0.012937	0.012941	0.690202	6.795941e+11	2.388609
4	9	0	0.300	0.001577	0.013487	0.013496	0.659829	7.623488e+11	2.386489
4	10	0	0.300	0.001770	0.014149	0.014161	0.628793	8.469292e+11	2.390449
4	11	0	0.300	0.001957	0.014782	0.014798	0.598411	9.297166e+11	2.390784
4	12	0	0.300	0.002131	0.015418	0.015440	0.569410	1.008700e+12	2.385533
4	13	0	0.300	0.002330	0.016264	0.016299	0.538364	1.093344e+12	2.390874
4	14	0	0.300	0.002512	0.017048	0.017096	0.509178	1.172843e+12	2.388447
4	15	0	0.300	0.002697	0.017961	0.018027	0.480386	1.251252e+12	2.385908
4	16	0	0.300	0.002896	0.018949	0.019037	0.450279	1.333351e+12	2.389528
4	17	0	0.300	0.003080	0.019981	0.020099	0.422817	1.408120e+12	2.385753
4	18	0	0.300	0.003268	0.021165	0.021321	0.394203	1.486115e+12	2.386422
4	19	0	0.300	0.003460	0.022486	0.022696	0.366596	1.561337e+12	2.386386
4	20	0	0.300	0.003645	0.023867	0.024156	0.339250	1.635841e+12	2.385861
4	21	0	0.300	0.003849	0.025706	0.026112	0.311122	1.712537e+12	2.391203
4	22	0	0.300	0.004021	0.027263	0.027797	0.286494	1.779591e+12	2.386924
4	23	0	0.300	0.004214	0.029368	0.030085	0.260727	1.849827e+12	2.388987
4	24	0	0.300	0.004399	0.031455	0.032425	0.235762	1.917853e+12	2.387620
4	25	0	0.300	0.004574	0.033973	0.035285	0.211721	1.983391e+12	2.390403
4	26	0	0.300	0.004748	0.036520	0.038268	0.188836	2.045734e+12	2.389361
4	27	0	0.300	0.004916	0.039381	0.041686	0.166968	2.105307e+12	2.389146
4	28	0	0.300	0.005092	0.042900	0.046112	0.145731	2.163213e+12	2.391077
4	29	0	0.300	0.005235	0.046220	0.050421	0.127723	2.212248e+12	2.388151
4	30	0	0.300	0.005390	0.049990	0.055611	0.108948	2.263403e+12	2.389017
5	1	0	0.300	0.000137	0.009931	0.009931	0.908241	8.545730e+10	2.384011
5	2	0	0.300	0.000309	0.010313	0.010313	0.876808	1.711132e+11	2.392894
5	3	0	0.300	0.000487	0.010659	0.010659	0.845679	2.559266e+11	2.387012
5	4	0	0.300	0.000668	0.011058	0.011059	0.814566	3.407097e+11	2.387976
5	5	0	0.300	0.000840	0.011504	0.011504	0.783067	4.265523e+11	2.391702
5	6	0	0.300	0.001022	0.011952	0.011953	0.752350	5.102451e+11	2.390094
5	7	0	0.300	0.001206	0.012429	0.012433	0.721219	5.950791e+11	2.391585
5	8	0	0.300	0.001388	0.012944	0.012949	0.690321	6.792719e+11	2.390957
5	9	0	0.300	0.001574	0.013503	0.013510	0.659523	7.631923e+11	2.390757
5	10	0	0.300	0.001756	0.014083	0.014094	0.629571	8.447952e+11	2.389044
5	11	0	0.300	0.001940	0.014693	0.014709	0.599316	9.272426e+11	2.389578
5	12	0	0.300	0.002126	0.015477	0.015504	0.568814	1.010362e+12	2.392328
5	13	0	0.300	0.002309	0.016115	0.016147	0.540337	1.087914e+12	2.384479
5	14	0	0.300	0.002495	0.016961	0.017005	0.510077	1.170404e+12	2.388216
5	15	0	0.300	0.002700	0.017925	0.017986	0.480481	1.251063e+12	2.388926
5	16	0	0.300	0.002886	0.018928	0.019016	0.451214	1.330810e+12	2.389819
5	17	0	0.300	0.003076	0.020055	0.020173	0.422796	1.408246e+12	2.390162
5	18	0	0.300	0.003264	0.021110	0.021267	0.394689	1.484822e+12	2.388649
